internal_id,customer_label,rawseqs(R1+R2),trimmed_seqs(R1+R2),dada2_infered,chimera_seqs,chimera_free_seqs,unique_seqs,seqs(after_size_filtration),final_unique_seqs
zr9122_252V3V4,BLMSE.A2,109610,100248,48149,2204,45945,46,45932,41
zr9122_253V3V4,BLMSE.G2,106680,97052,36309,1644,34665,603,34032,484
zr9122_254V3V4,BLMSE.T2,99150,89764,35017,2719,32298,530,31653,410
zr9122_255V3V4,BLMSE.E2,123332,113990,54404,2582,51822,76,51767,62
zr9122_256V3V4,BLMSE.GL2,81976,73642,29479,1118,28361,478,27702,364
zr9122_257V3V4,N22.1.g1.BLMNW,123320,111712,52149,3016,49133,336,48838,290
zr9122_258V3V4,N73.1.g1.BLMSE,97748,87034,41731,862,40869,104,40765,96
zr9122_259V3V4,N08.1.g1.JM,120958,109556,51109,3400,47709,281,47414,233
zr9122_260V3V4,N11.1.g1.JMS,132674,123888,60891,2403,58488,67,58376,49
zr9122_261V3V4,N34.1.g1.SBluG,100726,89542,39881,794,39087,546,38959,518
zr9122_262V3V4,N28.1.g1.SBluG,133734,123124,56254,1529,54725,514,54372,458
zr9122_263V3V4,M91.1.g1.BLMSE,108258,94078,46074,6983,39091,26,38908,20
zr9122_264V3V4,M53.2.g1.SNW,75418,68848,34291,79,34212,7,34153,6
zr9122_265V3V4,M53.1.g1.SNW,110934,100154,48400,1266,47134,51,46758,28
zr9122_266V3V4,M42.1.g1.SNW,123272,112254,52273,6155,46118,224,45764,176
zr9122_267V3V4,M50.1.g1.SNW,67934,59072,29342,965,28377,14,27917,13
zr9122_268V3V4,M21.1.g1.BLMNW,99526,89660,42989,3278,39711,132,39533,120
zr9122_269V3V4,M16.1.g1.JMS,96778,86540,42102,7291,34811,103,34550,71
